EventID,ParticleType,MomentumMag,Theta,Phi,Beta,Gamma,TotalEnergy,PositionX,PositionY,PositionZ,EnergyDeposited,dEdx,TrackLength,TOF
0,e-,0.645782,0.544718,-1.36836,0.784191,1.61155,0.823501,4.37911,-2.22231,504.121,1.03835,0.512206,2.02721,5.02154
0,e-,0,0,0,0,1,0.510999,4.39621,-2.30563,504.261,0.312503,0.647676,0.482498,5.02224
0,e-,0,0,0,0,1,0.510999,4.39621,-2.30563,504.261,0,0,0,5.02224
0,gamma,0.857271,1.54576,-0.64763,1,inf,0.857271,126.781,-10.7015,594.509,0,0,154.008,5.52446
0,gamma,0.235398,1.34996,1.56021,1,inf,0.235398,157.861,-34.2126,595.485,0,0,38.9832,5.65449
0,gamma,0.142139,1.07527,-2.489,1,inf,0.142139,157.997,-21.3776,598.367,0,0,13.1552,5.69837
0,gamma,0.142139,1.07527,-2.489,1,inf,0.142139,155.596,-23.2126,600,0,0,3.43499,5.70983
0,e-,0,0,0,0,1,0.510999,158.004,-21.3564,598.366,0.0932586,1.33788,0.0697062,5.69851
0,e-,0,0,0,0,1,0.510999,158.004,-21.3564,598.366,0,0,0,5.69851
0,e-,0.408609,0.324206,2.96432,0.624518,1.28039,0.654279,158.172,-34.5528,595.471,0.478592,0.390251,1.22637,5.65621
0,e-,0,0,0,0,1,0.510999,158.157,-34.5502,595.515,0.14328,1.00751,0.142212,5.65646
0,e-,0,0,0,0,1,0.510999,158.157,-34.5502,595.515,0,0,0,5.65646
0,e-,0.725511,0.632751,1.0285,0.817566,1.73661,0.887404,127.249,-10.4522,595.167,0.60159,0.353813,1.7003,5.52746
0,e-,0,0,0,0,1,0.510999,127.315,-10.3415,595.344,0.376405,0.593499,0.634214,5.52835
0,e-,0,0,0,0,1,0.510999,127.315,-10.3415,595.344,0,0,0,5.52835
0,gamma,1.81657,0.0142822,2.1163,1,inf,1.81657,3.55036,0.533305,600,0,0,102.254,5.33916
0,e-,0.85834,1.72081,0.0546148,0.859257,1.95486,0.998933,0.853609,-0.990534,485.777,0.460624,0.275801,1.67013,4.95758
0,e-,0,0,0,0,1,0.510999,1.17277,-0.973086,485.728,0.487934,0.532568,0.916191,4.95883
0,e-,0,0,0,0,1,0.510999,1.17277,-0.973086,485.728,0,0,0,4.95883
0,gamma,1.58099,0.192912,-1.39414,1,inf,1.58099,2.77485,-0.0931159,500.586,0,0,22.2004,5.00622
0,gamma,0.773057,0.932976,-2.43539,1,inf,0.773057,3.59909,-4.71029,524.597,0,0,24.4639,5.08782
0,gamma,0.723128,1.19928,-2.60219,1,inf,0.723128,-29.6284,-33.0513,556.965,0,0,54.3597,5.26915
0,gamma,0.229197,2.19575,1.6868,1,inf,0.229197,-52.6565,-46.8362,567.421,0,0,28.8038,5.36523
0,gamma,0.170335,2.74805,-1.41877,1,inf,0.170335,-55.6679,-20.9926,548.651,0,0,32.0823,5.47224
0,gamma,0.170335,2.73349,-1.57224,1,inf,0.170335,-55.3438,-23.1082,543.496,0,0,5.58149,5.49086
0,gamma,0.122009,1.41556,0.117,1,inf,0.122009,-55.3547,-30.6896,525.962,0,0,19.1029,5.55458
0,gamma,0.0974003,2.29255,-1.39446,1,inf,0.0974003,-27.1692,-27.3768,530.404,0,0,28.725,5.6504
0,gamma,0.0839955,1.58216,-0.0319649,1,inf,0.0839955,-25.0237,-39.4167,519.64,0,0,16.292,5.70474
0,gamma,0,0,0,-nan,-nan,0,-5.49411,-40.0411,519.418,0.0018285,9.35731e-05,19.5409,5.76992
0,e-,0,0,0,0,1,0.510999,-5.48612,-40.0566,519.422,0.082167,1.46006,0.0562764,5.77004
0,e-,0,0,0,0,1,0.510999,-5.48612,-40.0566,519.422,0,0,0,5.77004
0,e-,0,0,0,0,1,0.510999,-25.0242,-39.4171,519.639,0.0134048,5.42566,0.00247064,5.70475
0,e-,0,0,0,0,1,0.510999,-25.0242,-39.4171,519.639,0,0,0,5.70475
0,e-,0,0,0,0,1,0.510999,-27.1677,-27.3756,530.405,0.0246087,3.49424,0.00704265,5.65042
0,e-,0,0,0,0,1,0.510999,-27.1677,-27.3756,530.405,0,0,0,5.65042
0,e-,0,0,0,0,1,0.510999,-55.3585,-30.6922,525.957,0.0483263,2.13181,0.0226691,5.55464
0,e-,0,0,0,0,1,0.510999,-55.3585,-30.6922,525.957,0,0,0,5.55464
0,e-,0,0,0,0,1,0.510999,-55.6692,-20.9827,548.652,0.0588621,1.84875,0.0318389,5.47232
0,e-,0,0,0,0,1,0.510999,-55.6692,-20.9827,548.652,0,0,0,5.47232
0,e-,0,0,0,0,1,0.510999,-52.8682,-47.0381,567.572,0.493931,0.530066,0.931828,5.3665
0,e-,0,0,0,0,1,0.510999,-52.8682,-47.0381,567.572,0,0,0,5.3665
0,e-,0,0,0,0,1,0.510999,-29.6249,-33.0532,556.971,0.0499289,2.08192,0.0239821,5.26921
0,e-,0,0,0,0,1,0.510999,-29.6249,-33.0532,556.971,0,0,0,5.26921
0,e-,0.599903,0.420534,-2.30019,0.761262,1.54215,0.788037,3.88535,-4.65331,525.191,0.530893,0.351623,1.50983,5.09022
0,e-,0,0,0,0,1,0.510999,3.84838,-4.69468,525.315,0.277038,0.68812,0.402602,5.09081
0,e-,0,0,0,0,1,0.510999,3.84838,-4.69468,525.315,0,0,0,5.09081
0,e-,0,0,0,0,1,0.510999,2.78857,-0.067884,500.598,0.112122,1.18149,0.0948987,5.0064
0,e-,0,0,0,0,1,0.510999,2.78857,-0.067884,500.598,0,0,0,5.0064
0,e-,0,0,0,0,1,0.510999,0.324976,-0.104319,464.734,0.580751,0.507645,1.14401,4.88678
0,e-,0,0,0,0,1,0.510999,0.324976,-0.104319,464.734,0,0,0,4.88678
0,e-,1.32624,0.273238,-0.747638,0.933132,2.78138,1.42128,0.497316,-0.965398,443.946,1.25097,0.480815,2.60177,4.81794
0,e-,0.784769,1.4415,2.10533,0.838005,1.83263,0.936474,0.650228,-1.10718,444.69,0.484807,0.29754,1.62938,4.8207
0,e-,0,0,0,0,1,0.510999,0.517188,-0.882456,444.724,0.425475,0.562801,0.755994,4.82175
0,e-,0,0,0,0,1,0.510999,0.517188,-0.882456,444.724,0,0,0,4.82175
0,e-,0.69387,2.39544,3.0718,0.805207,1.68636,0.861728,-0.465258,-0.26266,425.896,0.5207,0.328308,1.58601,4.75746
0,e-,0,0,0,0,1,0.510999,-0.598142,-0.25337,425.752,0.350729,0.612949,0.572199,4.75827
0,e-,0,0,0,0,1,0.510999,-0.598142,-0.25337,425.752,0,0,0,4.75827
1,proton,99988.6,0.000129733,-0.420758,0.999956,106.571,99993,0.0013348,0.00128957,430.084,10.464,0.347824,30.0842,4.77046
1,proton,99986.1,0.000169837,-0.602572,0.999956,106.569,99990.5,0.00209119,0.000951102,436.472,1.90577,0.298361,6.38745,4.79176
